"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",7.6025,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",7.49591,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.36613,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",6.90976,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",6.78718,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",6.71166,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.00126,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.96483,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.87749,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.84756,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.82232,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.67271,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.7411,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.7487,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",21.55769,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",20.36762,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",17.42909,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",16.55429,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.87206,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",16.2518,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",14.62976,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",14.62208,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.9131,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.45269,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.39107,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.02271,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.3846,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",12.22494,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",21.01354,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",19.6842,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",17.75129,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.90076,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",16.98231,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",16.24259,
